window_end_token	kind.derived	kind.predictive	kind.ratified	kind.promoted	kind.evictions	kind.inventions	kind.constraintTotal	kind.uniqueAlphabetCovered	kind.scalar	kind.gap	vocab.derived	vocab.predictive	vocab.ratified	vocab.promoted	vocab.evictions	vocab.inventions	vocab.constraintTotal	vocab.uniqueAlphabetCovered	vocab.scalar	vocab.gap	cooccur.derived	cooccur.predictive	cooccur.ratified	cooccur.promoted	cooccur.evictions	cooccur.inventions	cooccur.constraintTotal	cooccur.uniqueAlphabetCovered	cooccur.scalar	cooccur.gap	position.derived	position.predictive	position.ratified	position.promoted	position.evictions	position.inventions	position.constraintTotal	position.uniqueAlphabetCovered	position.scalar	position.gap	frequency.derived	frequency.predictive	frequency.ratified	frequency.promoted	frequency.evictions	frequency.inventions	frequency.constraintTotal	frequency.uniqueAlphabetCovered	frequency.scalar	frequency.gap	composer.derived	composer.predictive	composer.ratified	composer.promoted	composer.evictions	composer.inventions	composer.constraintTotal	composer.uniqueAlphabetCovered	composer.scalar	composer.gap
2550	209	4906	326	5	4075	326	198	4	0.6476	0.3896	3510	1087	321	5	214	321	190	5	0.5676	0.4845	3837	551	45	0	503	45	200	3	0.6722	0.3064	783	1392	647	4	555	647	199	4	0.4980	0.5077	101	0	0	1	0	0	102	5	0.4095	0.6170	2335	4886	133	4	0	133	200	1	0.0778	0.9053
2700	210	5206	326	5	4375	326	198	4	0.5908	0.3983	3647	1119	321	5	238	321	200	5	0.4572	0.4941	4023	577	45	0	524	45	200	3	0.6446	0.3100	814	1542	647	4	705	647	199	4	0.5433	0.4974	101	0	0	1	0	0	102	5	0.3793	0.6153	2476	5186	133	4	0	133	200	1	0.0807	0.9042
2850	210	5506	326	5	4675	326	198	4	0.6574	0.4020	3750	1119	321	5	238	321	200	5	0.4700	0.5185	4122	591	47	0	537	47	200	3	0.6024	0.3496	828	1566	647	4	770	647	170	4	0.3949	0.5096	101	0	0	1	0	0	102	5	0.4091	0.6157	2603	5486	133	4	0	133	200	1	0.0833	0.9031
3000	210	5806	326	5	4975	326	198	4	0.5305	0.4054	3867	1163	339	5	249	339	200	5	0.3990	0.5332	4240	612	50	0	562	50	196	3	0.5658	0.3544	853	1616	670	4	795	670	199	4	0.4938	0.5109	101	0	0	1	0	0	102	5	0.3868	0.6136	2762	5786	133	4	0	133	200	1	0.0750	0.9061
3150	215	6106	355	5	5216	355	200	4	0.5881	0.4126	3987	1193	349	5	252	349	200	5	0.4922	0.5345	4385	625	52	0	565	52	200	3	0.7050	0.3617	884	1641	683	4	801	683	199	4	0.5186	0.5071	101	0	0	1	0	0	102	5	0.3809	0.6142	2911	6086	133	4	0	133	200	1	0.0713	0.9084
3300	218	6406	355	5	5489	355	198	4	0.5469	0.4094	4101	1216	360	5	266	360	200	5	0.4701	0.5415	4507	646	53	0	584	53	200	3	0.5896	0.3795	909	1662	694	4	812	694	200	4	0.5121	0.5042	101	0	0	1	0	0	102	5	0.3791	0.6134	3041	6386	133	4	0	133	200	1	0.0667	0.9098
3450	224	6706	355	5	5789	355	198	4	0.5537	0.4029	4252	1256	386	5	266	386	200	5	0.4295	0.5462	4730	676	57	0	605	57	200	3	0.7539	0.3578	934	1676	713	4	812	713	200	4	0.4993	0.4987	101	0	0	1	0	0	102	5	0.3695	0.6126	3181	6686	133	4	0	133	200	1	0.0886	0.9104
3600	226	7006	355	5	6089	355	198	4	0.6322	0.3960	4361	1274	394	5	268	394	200	5	0.3956	0.5563	4921	713	65	0	640	65	198	3	0.6611	0.3426	941	1676	713	4	812	713	200	4	0.4902	0.5021	101	0	0	1	0	0	102	5	0.3899	0.6126	3311	6986	133	4	0	133	200	1	0.0602	0.9101
3750	227	7306	355	5	6389	355	198	4	0.6486	0.3861	4513	1324	415	5	272	415	200	5	0.4166	0.5543	5134	747	65	0	675	65	200	3	0.7124	0.3274	957	1723	746	4	826	746	199	4	0.4197	0.5040	101	0	0	1	0	0	102	5	0.3781	0.6127	3452	7286	133	4	0	133	200	1	0.1603	0.9102
3900	227	7606	355	5	6689	355	198	4	0.5947	0.3864	4654	1345	431	5	276	431	200	5	0.4017	0.5609	5339	779	65	0	707	65	200	3	0.6679	0.3195	978	1734	757	4	826	757	200	4	0.4365	0.5159	101	0	0	1	0	0	102	5	0.3787	0.6161	3604	7586	133	4	0	133	200	1	0.1415	0.9110
4050	251	7906	355	5	6863	355	198	4	0.6616	0.3912	4842	1377	439	5	277	439	200	5	0.4716	0.5513	5603	828	66	0	743	66	200	3	0.7195	0.3024	1023	1809	807	4	831	807	200	4	0.5201	0.5094	101	0	0	1	0	0	102	5	0.3985	0.6204	3740	7886	133	4	0	133	200	1	0.0954	0.9114
4188	252	8182	355	5	7139	355	198	4	0.5949	0.3942	4980	1420	452	5	297	452	200	5	0.4488	0.5434	5822	857	67	0	779	67	200	3	0.7647	0.2962	1054	1872	836	4	854	836	196	4	0.5218	0.5034	101	0	0	1	0	0	102	5	0.3917	0.6207	3844	8162	133	4	0	133	200	1	0.1801	0.9121
